Var_ALX,Var_ALY,Var_ALZ,Var_ARX,Var_ARY,Var_ARZ,RMS_EMGL,RMS_EMGR,FFT_GYL,FFT_GYR,STD_ORL,STD_OPL,STD_OYL,STD_ORR,STD_OPR,STD_OYR
4.25305532361109e-06,1.77023340280899e-05,2.67943054076453e-05,0.0228558385066514,0.000932545839266598,0.00178168590640704,0.495122211308314,0.501419643536878,8.74239343251244,10.0914178883636,0.00246338179393692,0.00219250462658015,0.00208203423896386,0.0337772093062775,0.268754021949738,0.0319846261411864
1.03419557180033e-05,2.49585130921242e-05,2.89716890943819e-05,0.0219916945284557,0.00074510689286231,0.00150835928613494,0.494796214783232,0.495328966001564,8.77081648798122,10.0707190911623,0.00261787397148943,0.005278127363489,0.00130015733311194,0.0265350609765983,0.263917573361485,0.0245180084661895
1.12140074137022e-05,1.93437205362468e-05,1.52394379347914e-05,0.0215904747037569,0.000797985469911038,0.0019941857765003,0.495470749089478,0.500831191038373,8.78491838268475,10.0299576294915,0.00241554127620039,0.00356053410315407,0.0019910440635944,0.0349320854706989,0.25546892937278,0.0258926042594054
1.08842630661492e-05,2.03740462989362e-05,2.73492722387577e-05,0.0208347435344872,0.000561839202447122,0.00175110613958922,0.494455255967856,0.499491998499106,8.77998514654468,10.2168193673802,0.00207445732356962,0.00325594956335595,0.00292185577744863,0.0360352091138592,0.251429982601886,0.034362648340745
2.10586641068895e-05,1.22751721683527e-05,2.20730209075351e-05,0.019004658391897,0.000610225664982915,0.00218735805990532,0.495177983240449,0.497294799235961,8.81589863001093,10.3253116217677,0.00280572069378588,0.00401614833322376,0.00281635745373769,0.0386151887589921,0.236460650582045,0.0357888166306706
1.10906813342362e-05,7.24969632194382e-06,1.74830546499266e-05,0.0201399117737063,0.000470185316168791,0.00162322206514552,0.494681188698642,0.499370651210161,8.76546955082021,10.2716494048599,0.00233858693768485,0.00275630173020904,0.00198288379089648,0.0326340851174302,0.247375202567037,0.0341366734061191
8.89662422742191e-06,1.82046857202692e-05,2.54004914464305e-05,0.0222661555228146,0.000683783566135961,0.00172958954306059,0.494856375710582,0.498482117117214,8.78497290455282,10.0945915003168,0.00282223485597161,0.00315105284525088,0.0013761263844776,0.0331538266966283,0.265455463840566,0.0377608119556385
3.6939535465866e-05,1.99404346227432e-05,2.33922341301605e-05,0.0183737033396696,0.00059305446938216,0.00172419555945152,0.495380477953509,0.499762975582946,8.76787592359835,10.2833095403862,0.00233427591523443,0.00472703994115981,0.0020102323587151,0.0350902779721267,0.234205696835877,0.0321205659247949
5.0618702069815e-06,1.89316202146836e-05,2.11896557860832e-05,0.0207783003518824,0.000740789633934213,0.00184382868720675,0.494898059021502,0.502724327298814,8.78006723610293,10.2405772771946,0.00289297513132568,0.00340482042103385,0.00178731169923174,0.0365251171763184,0.254208388493529,0.244085046982112
8.22118835923885e-06,1.03558213904538e-05,2.39450770635275e-05,0.0207804615625433,0.000501540113446788,0.00163835909641348,0.494731957581957,0.495248704882883,8.7750534118952,10.1226717926212,0.00253037494684061,0.00201146787381487,0.00246998365224061,0.0299028023767847,0.241672868639307,0.32967751979738
