featureMatrix1,featureMatrix2,featureMatrix3,featureMatrix4,featureMatrix5,featureMatrix6,featureMatrix7,featureMatrix8,featureMatrix9,featureMatrix10,featureMatrix11,featureMatrix12,featureMatrix13,featureMatrix14,featureMatrix15,featureMatrix16
-0.374786085671125,-0.121469204379384,-0.109329234992625,-0.0478889674983381,-0.0659751919226395,0.152195677152407,-0.288784809161481,0.698525277417468,0.414333886011307,-0.185040609290234,-0.247029506734722,0.17433505279831,0.0368544328704263,0.114084070246919,0.16492398322649,0.14730893329093
-0.226070802341511,-0.129238585887469,-0.0888254271072756,-0.379818438951402,0.417336863421715,0.822065038799472,0.011690818428279,0.836145165711428,0.665751823931561,-0.312347583823562,-0.312644590298123,0.0824598394724949,-0.11392652522604,0.107294316115356,0.165272946846685,0.12043847182415
-0.395011752422973,-0.168338450509306,-0.106723575968798,0.0355740990006184,0.189458255098894,0.136106160000546,-0.193565514794247,1.20713686052783,0.283924627418896,-0.206415335299763,-0.223511348370943,0.251314996836785,-0.00055625338536436,0.114075672374384,0.128602165958346,0.147918299386785
-0.320523783090838,-0.225517355276889,-0.140896094522664,-0.33498646038324,0.138356330560911,0.562396381167574,-0.0681106305947219,1.10684403934997,0.521833471015676,-0.323924969117611,-0.258309197857818,0.150649893397046,-0.0791171427511038,0.110320778342688,0.155820316579915,0.133175241185994
-0.453725226652521,-0.350299558507807,-0.231504571085584,-0.185894396780931,-0.15442018716729,-0.125863323655598,0.183393659736007,1.20549156422505,0.62324152150213,-0.406182595211186,-0.137942871628054,0.236020080693965,-0.033889784959314,0.14419401343038,0.102905029309356,0.138490215224739
-0.502848215742401,-0.396739577867429,-0.193542334060372,-0.155163766999413,-0.189261597131,-0.204982875399037,0.0925485342838256,0.587629798682542,0.969871223838492,-0.447346134482121,-0.282788719317588,0.177320161545276,-0.0465426248686364,0.186596132944058,0.125953817424303,0.150565906736406
-0.499811479024689,-0.383954215256203,-0.238865406057746,-0.21253333785628,-0.193334015843811,-0.103227777543645,0.102352816259851,1.17956211152744,0.675476611733335,-0.427374463504709,-0.184458053648147,0.245327753761152,-0.064289455424885,0.16133257212729,0.0967485845019864,0.145708588489457
-0.402859635700285,-0.326875714574512,-0.215890291414127,-0.267160775434765,-0.354362751814167,-0.079786115116071,0.138221274347806,0.991264055273448,0.611564238887308,-0.328297531724803,-0.0961664605908193,0.230843296466626,-0.0482476457676054,0.16423884444304,0.114726672073204,0.135099786957323
-0.408823694505809,-0.293765611200146,-0.194646248738618,-0.185541289417771,-0.276694987808264,-0.187661516348831,0.189950988967601,0.589841232600696,0.821544047804509,-0.351463469707206,-0.164146672696945,0.176110355077754,-0.0300476132089293,0.179972766157069,0.12919888076504,0.134833232145564
-0.418314740163582,-0.345915135278959,-0.230011939232023,-0.206096404517272,-0.222135626174286,-0.120392937931075,0.17298624111635,1.069451765284,0.641555782631592,-0.381980388661381,-0.112634212265354,0.22060042567444,-0.0116384579545614,0.137651212349331,0.114916936338486,0.135779099811703
-0.406430482560517,-0.331087651698539,-0.204971881931472,-0.148795516634326,-0.147698195381656,-0.183151905908644,0.232883493892382,0.92517812255212,0.711899187023664,-0.385936894594655,-0.130817210824072,0.199303470674643,-0.0212341987119888,0.156416802844821,0.105772385676369,0.131077459301124
-0.38166224423435,-0.296608559434385,-0.185844475634127,-0.11073130343348,-0.173613793551434,-0.26585137941466,0.26519639364342,0.427703080654792,0.901286009274186,-0.350941531539186,-0.201743449476098,0.15490009281539,-0.047974219010917,0.206027226915788,0.125679707425968,0.13186741172225
-0.394281034686589,-0.383603055049317,-0.213120656153032,-0.20426397351051,-0.215275280880733,-0.11824793433457,0.188115902380771,1.10858815816373,0.602446246174236,-0.35119542756038,-0.126944276138142,0.240641878764735,-0.0753367441204447,0.178372003091316,0.101660386857604,0.136028112178732
-0.338049427474071,-0.328318615326378,-0.206752198451174,-0.251819940210555,-0.378762456857641,-0.113562347723804,0.176483961053968,0.766539713424244,0.655127991519275,-0.285129543286562,-0.0982688214488905,0.211580486117048,-0.0563038226611338,0.183387241654698,0.106472752757554,0.126782613835136
-0.392128103512404,-0.310985648142428,-0.240510190570004,-0.232886413553096,-0.284886457770305,-0.104193141106042,0.188249983185753,1.0462301761846,0.587942533587608,-0.327632749721776,-0.0861329435674199,0.231423532081602,-0.0547336816591261,0.170478769842673,0.129836242680369,0.137195488486415
-0.321538580263883,-0.299997750692829,-0.199671954466661,-0.174922426439219,-0.294916319539983,-0.206081192021147,0.240392311894397,0.469903114816772,0.80112969257098,-0.299474659887986,-0.132213914024261,0.167068860040094,-0.0377736092693535,0.192521839014383,0.105920090933401,0.121281783487726
-0.355042696675476,-0.346302354846168,-0.21247501116542,-0.187679550950602,-0.220238485634832,-0.146784694869851,0.236448723987259,0.974979275302359,0.614739045621255,-0.318790915892012,-0.104157669202646,0.225882309333973,-0.0831188627296385,0.194828018848735,0.101660186285076,0.129815128019244
