Gestures,Precision,Recall,F1
and,0.97701,0.98837,0.98266
hearing,1,1,1
can,1,0.98256,0.9912
about,1,1,1
cop,1,0.99419,0.99708
deaf,1,1,1
decide,1,0.99415,0.99707
father,1,0.99412,0.99705
find,1,1,1
goout,0.97917,1,0.98947
