trainData1,trainData2,trainData3,trainData4,trainData5,trainData6,trainData7,trainData8,trainData9,trainData10,trainData11,trainData12,trainData13,trainData14,trainData15,trainData16,trainData17
1,-0.0396398052961233,0.428744081722475,0.482289931922653,-0.0648141250519026,0.0811959782800738,0.238980501859197,-0.0338531101286169,-0.113097384264947,0.61931858229711,0.373799594635872,0.00170908839656631,-0.176979801679589,0.353974607620129,-0.0858259250752327,0.123553912719176,-0.0440989344519715
1,-0.0406548442467659,0.514319011218225,0.532418211686435,0.0877030664547209,0.238266052676471,0.128130711963015,-0.0944284810243208,-0.381770779404139,0.583577146105872,0.282622248696855,0.00416152498918356,-0.219243773002853,0.418166462229502,-0.105848097568311,0.129136759234642,-0.0533655673632884
1,-0.0670203725843335,0.501495328345155,0.541864107055791,0.0635191321149406,0.152050782874242,0.0416196735676305,-0.0433283073234376,-0.085866091473782,0.768899409383016,0.708713400837019,-0.0147845541177444,-0.292631081849562,0.36276242520242,-0.0822880310047002,0.151808488713445,-0.0652973792077061
1,-0.0791809187154476,0.533085516225996,0.640898642239868,-0.0538236436202087,0.0898515304220621,0.197087756250893,-0.0226431669714829,-0.111799865297555,0.639736365842995,0.547855211630969,-0.0121888601808861,-0.207616249665148,0.375220360217266,-0.0946950187678394,0.149310312916305,-0.0469773547568944
1,-0.0358569974068094,0.512512765063822,0.561496483732811,0.0142582554784106,0.137986201246015,0.247587004252617,-0.0674613214699819,0.0172871348312519,0.955353259871452,0.388420863453172,-0.0552760095186593,-0.150420866882373,0.349366600443396,-0.0792088193769104,0.160332670740228,-0.0507459805785008
1,-0.0648020500960009,0.529962274905368,0.577164353538065,0.000912261536796329,0.109157776047647,0.156006971251619,-0.0721490124187589,-0.177967209243848,0.831386878876305,0.349547203483121,-0.019029377862418,-0.237509315564875,0.348982632131257,-0.0662408111880245,0.169342439420765,-0.0658587402888577
1,-0.0573042500895578,0.522616791229743,0.69937967690645,-0.0984164534949444,0.0264566589957372,0.32920869470544,-0.0147820391177295,-0.0892505165314748,0.871736548127036,0.609980867973522,-0.01907119843381,-0.228585957052742,0.473967949260667,-0.0963510984061197,0.102769981242464,-0.0400032655520407
1,1.13001237210972,0.553814855299325,0.347115006013063,0.46415000132521,-0.0117226083012982,-0.265010832865554,0.0545379385368995,0.406225240790646,0.814973465151869,0.445426482848984,-0.0535584698552557,-0.345183839098451,0.213268144525669,0.0614423405219805,-0.0101553414567492,0.0630389806670069
1,0.64195773623868,0.984419240554064,0.607215419549265,0.469760523749897,-0.00961602845683804,-0.174144994154466,0.0446303499944902,0.224346676051525,0.790948644272086,0.642649485184982,-0.0978729364309327,-0.405992568939136,0.260612810874585,0.0248015506995352,0.121533263079369,-0.0239803648843477
1,0.650433401371558,0.952916767676389,0.511410613990199,0.448927226698085,0.0295774187735601,-0.105669500560937,0.00615011175431276,0.102383928485856,0.604856161459728,0.246954624382174,-0.0880690820302983,-0.329189819552671,0.205644350096201,0.0170020780478873,0.157432744705614,-0.0105760729971154
