testData1,testData2,testData3,testData4,testData5,testData6,testData7,testData8,testData9,testData10,testData11,testData12,testData13,testData14,testData15,testData16,testData17
1,1.05480291824824,0.779272022826827,-0.427319805602777,0.289527271790795,-0.546606452671295,0.262115056325625,-0.0328661943410141,0.166930606489462,0.43539813264167,-0.24950802357883,0.0239556949858441,-0.0685887057565028,-0.0914301115673343,-0.0595845036084858,-0.00448092627749602,0.0279568143420118
1,1.04911191187743,0.773176144232076,-0.4023406880978,0.256329396424638,-0.572495886823859,0.254382498526532,-0.00140313400629079,0.169559035109256,0.326846612854942,-0.346274185547528,-0.0443110026885324,-0.0441727386362288,-0.0342530480571978,-0.0366664958553637,-0.0127325780243803,0.0281730079697005
1,-0.671149128379392,0.673103869670306,-0.701354143158368,0.252492804981903,-0.235467709956681,0.327056900307624,0.114524889738912,0.294637614142479,0.350732791828477,-0.236957927001367,0.149906845506498,-0.062095627785394,-0.0653355803768229,-0.00278708791137676,0.0446047351550239,-0.00189621295959329
1,-0.257168006621416,0.221847528363789,-0.45031686242704,0.396083152678176,-0.224035559759148,0.136396100451435,0.0257440658048614,0.411621175503164,0.379683975436162,-0.195518569491971,0.0230961458484634,-0.0684831760088659,-0.0236207423375185,-0.0496214625914839,0.0628577188623263,0.0013003593724883
1,-0.402824644486188,0.377465762370693,-0.560905505773043,0.357394386163928,-0.235501449215227,0.289859295124382,0.102878110943479,0.267172605206708,0.352715024681553,-0.165305466467522,0.0652053069978613,-0.0866737030966826,-0.0500580606427702,-0.0099620623777687,0.0582965381185932,-0.00397103729022094
1,-0.369039612133707,0.339900609588938,-0.542443054809477,0.339654627354111,-0.227533745400539,0.228023748803264,0.00203622234334742,0.483594712672181,0.393819192385009,-0.231776100048798,0.055698064974518,-0.0735501116642433,-0.0285444608954853,-0.0519340491052146,0.062125287694349,0.00272558134789226
1,-0.258458745039775,0.224020026563047,-0.453881320962533,0.385335433122203,-0.220822723445086,0.164391142630264,0.00878584524214962,0.433939898385649,0.352806448241583,-0.212121348165882,0.0442228694755161,-0.0638792678794969,-0.0295015551964414,-0.0478372400627226,0.0654819643141819,0.000522210396006271
1,-0.0564699770281463,0.0277724563693912,-0.328801530582404,0.434628056282963,-0.217005990879234,0.215167961100242,-0.0499361939845108,0.576590973174417,0.398904589572104,-0.204899570073085,0.0266778352097307,-0.0754921898347576,-0.0416803964068813,-0.105822814885037,-0.0391433665523416,0.0128815063435251
1,-0.471948455717566,0.475569956396731,-0.59634283859669,0.303363092639027,-0.215537498887495,0.421595478262205,0.148741470120549,0.237210398321186,0.341512136756132,-0.163836766099957,0.0886234788311438,-0.0803659257785727,-0.0793352542410628,0.000280154757135695,0.0809440944553463,-0.00383544070628479
1,-0.294222545815826,0.279747101915874,-0.465756760213578,0.350758194073461,-0.20900591671787,0.0909565080616218,0.0963223634451154,0.304838737687734,0.416221104797545,-0.1863338696109,0.068777988197434,-0.0728729836132459,-0.0238978332079033,-0.0308886448076237,0.074024892104541,-0.00176510477842219
1,-0.312629759418159,0.261624240973298,-0.553757066965258,0.470137241479958,-0.275215516130837,0.223300597661546,-0.10164133418317,0.657865872712324,0.381442061149559,-0.254773868274431,0.0457384228498875,-0.0830719842471064,-0.0322673225724766,-0.0882613901240609,0.0465026530892552,0.00986473975940132
1,-0.633743331976107,0.630771119300986,-0.707220222195883,0.284862775835378,-0.251195414096257,0.488719596878355,0.117539884446634,0.287223010539369,0.366514044042535,-0.183461453651528,0.112853603486676,-0.0915732625567771,-0.0777245411794667,0.000742298177236634,0.055372261455535,-0.00163486339392482
1,-0.566506927820694,0.586315539194981,-0.648366827947857,0.226229879794757,-0.199802357269681,0.383641275465252,0.038216816619589,0.469589382368774,0.365177960372857,-0.222274277551264,0.079395740695244,-0.0874399857599005,-0.0571568035629633,-0.0520032553270571,0.0579867732519579,0.00748412137519611
1,-0.473341413143192,0.515917311540739,-0.599145680621386,0.256865193816416,-0.188305139963288,0.312983581047564,0.0916536025718327,0.388978814356101,0.389787637735278,-0.198275198741942,0.110978808387678,-0.0826136524515449,-0.0705734036825626,-0.0493300843979991,0.0759766108175837,0.0034548619429331
1,-0.37717212587581,0.342445321050759,-0.585480929999158,0.428207734179408,-0.256026583714975,0.262486321867695,0.000675422040304864,0.476394398706614,0.341937896983083,-0.217657621784987,0.0673347788097515,-0.0863541598141288,-0.0516411332869009,-0.0519590275066088,0.0630348674936981,0.00545069829769845
1,-0.498059998660997,0.529055050758032,-0.512361855717274,0.156128304202833,-0.154432099386445,0.171944375874592,0.0605065377305243,0.417020594516568,0.385840677322013,-0.248816044860661,0.0639677428708375,-0.0627022287476072,-0.0146745640197807,-0.0451435445373636,0.0670285677324674,-0.000724036602299526
