Var1,Var2
DM01,18
DM02,18
DM04,20
DM05,19
DM06,19
DM07,19
DM09,20
DM11,19
DM12,11
DM13,19
DM15,20
DM16,23
DM19,13
DM20,14
DM21,22
DM22,17
DM23,2
DM24,18
DM26,12
DM27,20
DM28,20
DM29,21
DM31,17
DM32,18
DM33,20
DM34,15
DM35,15
DM36,20
