Var1,Var2
DM01,19
DM02,17
DM04,19
DM05,18
DM06,27
DM07,20
DM08,9
DM09,19
DM10,21
DM12,11
DM13,17
DM15,20
DM16,17
DM18,1
DM19,16
DM20,5
DM22,18
DM24,19
DM26,14
DM27,21
DM28,19
DM29,19
DM30,13
DM31,17
DM32,22
DM34,17
DM36,20
