Var1,Var2
DM01,16
DM02,18
DM04,7
DM05,13
DM06,25
DM07,20
DM09,18
DM10,1
DM11,17
DM12,17
DM13,18
DM14,45
DM15,21
DM16,22
DM18,1
DM19,19
DM20,18
DM21,3
DM22,20
DM23,18
DM24,21
DM25,7
DM26,14
DM27,16
DM28,19
DM29,18
DM30,5
DM31,19
DM32,18
DM34,13
DM35,1
DM36,20
DM37,17
