Var1,Var2
DM01,17
DM02,7
DM04,20
DM05,17
DM06,15
DM07,19
DM09,16
DM10,1
DM11,20
DM12,18
DM13,19
DM15,18
DM16,23
DM18,2
DM19,19
DM20,23
DM21,21
DM22,19
DM23,14
DM24,22
DM25,24
DM26,15
DM27,20
DM28,19
DM29,22
DM31,22
DM32,10
DM34,17
DM35,19
DM36,19
