Var1,Var2
DM01,14
DM02,1
DM04,12
DM05,13
DM06,19
DM07,19
DM09,19
DM10,1
DM11,19
DM12,17
DM13,19
DM15,19
DM16,22
DM18,1
DM19,19
DM20,19
DM22,18
DM23,17
DM24,21
DM25,18
DM26,16
DM27,20
DM28,18
DM29,17
DM30,4
DM31,18
DM32,20
DM34,17
DM35,23
DM36,15
