Var1,Var2
DM01,14
DM02,16
DM04,8
DM05,18
DM07,18
DM08,5
DM09,20
DM10,19
DM12,12
DM13,19
DM15,18
DM16,16
DM19,19
DM20,13
DM22,20
DM24,19
DM25,3
DM26,14
DM27,19
DM28,18
DM29,20
DM30,4
DM34,18
DM36,18
