Var1,Var2
DM01,10
DM02,18
DM04,19
DM05,16
DM06,6
DM07,18
DM09,17
DM10,2
DM11,19
DM12,18
DM13,18
DM15,17
DM16,21
DM18,4
DM19,19
DM20,19
DM21,19
DM22,18
DM23,17
DM24,21
DM25,18
DM26,13
DM27,19
DM28,18
DM29,18
DM31,13
DM32,14
DM33,17
DM34,18
DM35,17
DM36,18
