Var1,Var2
DM01,13
DM02,1
DM05,15
DM06,17
DM07,17
DM09,22
DM10,10
DM11,19
DM12,15
DM13,19
DM15,16
DM16,26
DM19,20
DM20,17
DM22,17
DM23,18
DM24,18
DM25,15
DM26,14
DM27,18
DM28,17
DM29,20
DM30,3
DM31,16
DM32,19
DM34,19
DM36,17
DM37,6
