Var1,Var2
DM01,18
DM02,18
DM05,18
DM06,33
DM07,17
DM08,9
DM10,19
DM12,2
DM13,19
DM15,18
DM16,18
DM18,1
DM19,19
DM20,16
DM21,5
DM22,20
DM24,18
DM25,10
DM26,15
DM27,21
DM28,21
DM30,7
DM34,17
DM36,17
