Var1,Var2
DM01,5
DM02,17
DM04,20
DM05,20
DM06,19
DM07,18
DM08,9
DM09,17
DM10,20
DM12,19
DM13,16
DM15,18
DM16,7
DM18,1
DM19,21
DM20,14
DM22,17
DM24,19
DM26,15
DM27,20
DM28,19
DM29,18
DM30,16
DM31,21
DM34,19
DM36,19
