Var1,Var2
DM01,19
DM02,20
DM04,17
DM05,15
DM06,10
DM07,17
DM09,18
DM10,10
DM11,19
DM12,10
DM13,20
DM15,18
DM16,16
DM19,18
DM20,18
DM21,1
DM22,18
DM23,15
DM24,17
DM26,14
DM27,17
DM28,21
DM29,19
DM30,20
DM31,19
DM32,19
DM33,19
DM34,17
DM35,20
DM36,18
