Var1,Var2
DM01,17
DM02,19
DM04,16
DM05,15
DM06,14
DM07,19
DM09,18
DM10,8
DM11,19
DM12,19
DM13,19
DM15,17
DM16,24
DM19,23
DM20,20
DM22,20
DM23,15
DM24,22
DM25,13
DM26,15
DM27,18
DM28,21
DM29,18
DM30,1
DM31,17
DM32,24
DM34,16
DM36,19
DM37,4
