Var1,Var2
DM01,4
DM02,19
DM04,18
DM05,17
DM06,22
DM07,19
DM08,11
DM09,19
DM10,19
DM12,5
DM13,17
DM15,16
DM16,12
DM18,2
DM20,20
DM22,18
DM24,21
DM26,12
DM27,18
DM28,21
DM29,20
DM30,19
DM34,15
DM36,28
